Row Names,image_auroc,image_ap,pixel_auroc,pixel_ap,pixel_pro,best_epoch
chest_wAnomalyMask,0.0,0.0,0.6788597178149349,0.3525718737026281,0.36977238309679605,63
Mean,0.0,0.0,0.6788597178149349,0.3525718737026281,0.36977238309679605,63.0
